127.0.0.1 - - [26/Nov/2022:23:17:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:17:22 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:17:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:23:15 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:23:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:25:07 +0900] "GET /Day4/login_ok.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:26:12 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:26:22 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:26:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:26:24 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:26:24 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:26:24 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [26/Nov/2022:23:26:24 +0900] "GET /Day4/login.jsp HTTP/1.1" 200 459
