0:0:0:0:0:0:0:1 - - [27/Nov/2022:19:13:53 +0900] "GET /Day2/3_login.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [27/Nov/2022:19:14:09 +0900] "GET /Day2/3_logout.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [27/Nov/2022:19:14:13 +0900] "GET /Day2/3_login.jsp HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [27/Nov/2022:19:14:23 +0900] "GET /Day2/3_login.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [27/Nov/2022:19:14:30 +0900] "GET /Day2/3_login_ok.jsp?userid=apple&userpw=1234 HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [27/Nov/2022:19:14:31 +0900] "GET /Day2/3_login.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [27/Nov/2022:19:14:40 +0900] "GET /Day2/3_login_ok.jsp?userid=apple&userpw=1234 HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [27/Nov/2022:19:45:51 +0900] "GET /Day2/4_session.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [27/Nov/2022:19:45:52 +0900] "GET /Day2/3_login.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [27/Nov/2022:19:46:19 +0900] "GET /Day2/4_session.jsp HTTP/1.1" 500 2942
0:0:0:0:0:0:0:1 - - [27/Nov/2022:20:02:37 +0900] "GET /Day2/5_getsession.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [27/Nov/2022:20:55:30 +0900] "GET /Day2/7_basket.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [27/Nov/2022:20:55:31 +0900] "POST /Day2/7_basket_ok.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [27/Nov/2022:20:55:32 +0900] "GET /Day2/7_basket.jsp HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [27/Nov/2022:20:55:35 +0900] "POST /Day2/7_basket_ok.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [27/Nov/2022:20:55:35 +0900] "GET /Day2/7_basket.jsp HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [27/Nov/2022:20:55:37 +0900] "GET /Day2/7_basket_payment.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [27/Nov/2022:20:55:46 +0900] "GET /Day2/7_basket_invalid.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:20:55:46 +0900] "GET /Day2/7_basket.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:38:11 +0900] "GET /Day3/2_exception.jsp HTTP/1.1" 500 382
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:38:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:42:35 +0900] "GET /Day3/3_pagecontext.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:42:45 +0900] "GET /Day3/3_pagecontext_ok.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:44:43 +0900] "GET /Day3/3_pagecontext.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:44:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:44:52 +0900] "GET /Day3/3_pagecontext.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:44:52 +0900] "GET /Day3/3_pagecontext.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:44:52 +0900] "GET /Day3/3_pagecontext.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:45:06 +0900] "GET /Day3/3_pagecontext_ok.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:45:10 +0900] "GET /Day3/3_pagecontext_ok.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:45:10 +0900] "GET /Day3/3_pagecontext_ok.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:45:11 +0900] "GET /Day3/3_pagecontext.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:45:11 +0900] "GET /Day3/3_pagecontext.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:45:15 +0900] "GET /Day3/3_pagecontext.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:45:16 +0900] "GET /Day3/3_pagecontext_ok.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:45:17 +0900] "GET /Day3/3_pagecontext.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:46:06 +0900] "GET /Day4/member.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [27/Nov/2022:22:46:06 +0900] "GET /Day4/js/regist.js HTTP/1.1" 304 -
